starting,ending
Alabama,Georgia
Alaska,Florida
Arizona,California
Arkansas,Texas
California,Texas
Colorado,California
Connecticut,New York
Delaware,Maryland
District of Columbia ,Maryland
Florida,Georgia
Georgia,Florida
Hawaii,California
Idaho,Washington
Illinois,Wisconsin
Indiana,Illinois
Iowa,Nebraska
Kansas,Missouri
Kentucky,Tennessee
Louisiana,Texas
Maine,Florida
Maryland,Virginia
Massachusetts,New Hampshire
Michigan,Florida
Minnesota,Wisconsin
Mississippi,Louisiana
Missouri,Kansas
Montana,Colorado
Nebraska,Iowa
Nevada,California
New Hampshire,Massachusetts
New Jersey,New York
New Mexico,Texas
New York,Florida
North Carolina,Florida
North Dakota,Minnesota
Ohio,Kentucky
Oklahoma,Texas
Oregon,Washington
Pennsylvania,New York
Rhode Island,Massachusetts
South Carolina,North Carolina
South Dakota,Minnesota
Tennessee,Georgia
Texas,California
Utah,Arizona
Vermont,New York
Virginia,North Carolina
Washington,California
West Virginia,Virginia
Wisconsin,Minnesota
Wyoming,Colorado
